lugar;delito;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
canarias;3.4.-Pornografia de menores;46;53;33;54;54;68;52;45;26;27;34;32;38;27;51
canarias;3.5.-Otros contra la libertad sexual;131;134;114;92;101;97;79;83;87;61;52;60;59;79;70
canarias;4. RELACIONES FAMILIARES;518;564;599;631;654;639;754;833;837;1,010;1,153;1,117;1,016;919;836
canarias;5. PATRIMONIO;68,916;66,962;61,602;49,285;53,017;64,716;61,599;62,255;61,781;60,740;59,759;62,970;66,731;65,378;61,351
canarias;5.1.-Hurtos;28,423;26,245;23,596;17,144;16,683;26,122;27,229;30,127;30,971;30,242;30,658;32,519;32,454;31,825;29,107
canarias;5.2.-Robos con fuerza en las cosas;7,720;7,853;8,596;7,639;7,501;10,888;11,598;12,638;12,658;12,752;12,614;13,661;14,956;14,378;13,784
canarias;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;3,266;2,969;3,373;2,915;2,682;4,544;4,250;4,674;4,507;4,766;4,614;4,598;4,838;4,939;3,573
canarias;5.2.2.-Robos con fuerza en viviendas;1,872;2,120;2,370;2,428;2,356;2,886;3,229;3,263;3,572;3,398;3,609;4,001;4,294;3,109;3,750
canarias;5.2.3.-Robos con fuerza en establecimientos;1,068;1,249;1,241;956;1,100;1,358;1,739;2,028;2,053;2,011;1,743;1,809;1,901;1,600;2,204
canarias;5.3.-Robos con violencia o intimidacion;1,752;1,858;1,615;1,316;1,180;1,535;1,490;1,436;1,537;1,530;1,628;1,818;2,011;2,017;1,944
canarias;5.3.1.-Robos con violencia en via pública;1,054;1,106;948;745;622;905;870;878;962;940;1,061;1,208;1,346;1,226;1,321
canarias;5.3.2.-Robos con violencia en viviendas;142;148;138;121;148;154;124;116;132;130;108;138;134;112;124
canarias;5.3.3.-Robos con violencia en establecimientos;305;333;300;255;246;256;288;245;249;246;243;222;248;264;281
canarias;5.4.-Sustraccion de vehiculos;1,605;1,451;1,244;983;1,012;1,295;1,354;1,797;1,606;1,677;1,822;1,893;2,168;2,789;2,929
canarias;5.5.-Estafas;18,496;19,297;16,324;12,702;17,540;14,386;9,983;6,448;5,481;5,290;4,198;3,736;5,267;4,207;3,335
canarias;5.5.1.-Estafas informaticas;14,764;15,752;11,699;8,916;12,642;7,286;3,097;2,172;1,696;1,838;1,371;1,161;2,118;1,384;978
canarias;5.6.-Danos;7,915;7,441;7,688;7,413;6,729;7,480;7,217;7,324;7,240;7,168;7,170;8,060;8,721;9,131;9,348
canarias;5.7.-Contra la propiedad intelectual/industrial;152;107;91;48;36;154;112;75;87;86;68;82;73;44;61
canarias;5.8.-Blanqueo de capitales;21;19;10;15;8;14;14;13;15;21;5;5;10;4;2
canarias;5.9.-Otros contra el patrimonio;2,832;2,691;2,438;2,025;2,328;2,842;2,602;2,397;2,186;1,974;1,596;1,196;1,071;983;841
cantabria;1. CONTRA LAS PERSONAS;2,782;2,738;2,463;2,069;1,748;2,053;2,110;1,941;1,971;2,656;3,312;3,180;3,292;3,711;3,564
